distancia_km,altitud_m
0,1497
0.494117647,1465.578819
0.988235294,1470.7495
1.482352941,1473.348696
1.976470588,1479.312552
2.470588235,1488.527915
2.964705882,1501.170783
3.458823529,1512.236969
3.952941176,1525.006069
4.447058824,1530.966554
4.941176471,1530.072928
5.435294118,1532.000472
5.929411765,1528.123152
6.423529412,1526.985964
6.917647059,1527.183922
7.411764706,1523.178027
7.905882353,1504.239263
8.4,1514.961277
8.894117647,1504.351399
9.388235294,1493.760306
9.882352941,1490.327325
10.37647059,1499.497054
10.87058824,1497.354526
11.36470588,1486.542145
11.85882353,1483.254706
12.35294118,1477.881652
12.84705882,1478.957358
13.34117647,1477.932303
13.83529412,1479.415467
14.32941176,1484.139385
14.82352941,1493.380725
15.31764706,1491.95232
15.81176471,1484.349482
16.30588235,1470.627764
16.8,1465.761323
17.29411765,1469.750159
17.78823529,1478.728202
18.28235294,1486.009907
18.77647059,1489.152542
19.27058824,1497.244017
19.76470588,1497.187847
20.25882353,1499.863716
20.75294118,1504.884877
21.24705882,1511.691525
21.74117647,1517
22.23529412,1523.451047
22.72941176,1523.559744
23.22352941,1526.116703
23.71764706,1529.277804
24.21176471,1534.059241
24.70588235,1541.162229
25.2,1538.934017
25.69411765,1550.277882
26.18823529,1558.767826
26.68235294,1567.584971
27.17647059,1569.021373
27.67058824,1576.657116
28.16470588,1586.075876
28.65882353,1591.956107
29.15294118,1589.024414
29.64705882,1579.973887
30.14117647,1572.353799
30.63529412,1566.811191
31.12941176,1562.125338
31.62352941,1557.700741
32.11764706,1547.198995
32.61176471,1538.365166
33.10588235,1536.160395
33.6,1529.952757
34.09411765,1525.810851
34.58823529,1523.165649
35.08235294,1522.017153
35.57647059,1525.385071
36.07058824,1516.919254
36.56470588,1508.852418
37.05882353,1501.514464
37.55294118,1500.197551
38.04705882,1496.552114
38.54117647,1490.000029
39.03529412,1487.676664
39.52941176,1482.522495
40.02352941,1479.058197
40.51764706,1479.8169
41.01176471,1476
41.50588235,1476
42.44015818,1464

